trigger_id,trigger_domain,change_type,watched_artifact,revalidation_scope,impact_assessment_required,owner_review_required,clinical_release_allowed,approval_status,rollback_or_no_call_policy,evidence_dependency,next_action
workflow_version_change,workflow,workflow_or_container_change,main.nf;nextflow.config;src/diana_omics,full_workflow_regression_and_known_answer_revalidation,yes,yes,no,not_approved,No clinical release until workflow change impact is reviewed and validated,results/clinicalization/clinical_validation_evidence_link_summary.json;results/clinicalization/known_answer_benchmark_plan_summary.json,Define frozen workflow version evidence after approved benchmark execution.
reference_asset_change,reference,reference_or_annotation_change,manifests/*reference*;data/reference,reference_compatibility_and_feature_revalidation,yes,yes,no,not_approved,No clinical interpretation if reference build or annotation provenance changes without revalidation,results/clinicalization/clinical_qc_threshold_lock_summary.json;results/clinicalization/clinical_validation_evidence_link_summary.json,Define reference asset version-lock policy before clinical release.
input_policy_change,preanalytic_qc,input_acceptance_or_sample_identity_change,manifests/*samplesheet*;manifests/clinical_qc_threshold_locks.csv,input_acceptance_and_pairing_revalidation,yes,yes,no,not_approved,No clinical interpretation if sample identity pairing or checksum policy changes without review,results/clinicalization/clinical_qc_threshold_lock_summary.json;results/clinicalization/known_answer_asset_approval_packet_summary.json,Attach approved input-acceptance impact assessment after benchmark assets are approved.
small_variant_caller_change,accuracy,small_variant_caller_or_filter_change,src/diana_omics/commands/phase3_wgs/run_phase3_wgs_smoke.py;main.nf,HG008_small_variant_accuracy_revalidation,yes,yes,no,not_approved,No small-variant reportable evidence until caller/filter change is revalidated,results/clinicalization/known_answer_benchmark_plan_summary.json;results/clinicalization/clinical_validation_evidence_link_summary.json,Require HG008 small-variant truth evidence before approving caller/filter changes.
cnv_loh_tool_change,accuracy,allele_specific_cnv_tool_or_parameter_change,manifests/allele_specific_cnv_tool_candidates.csv;src/diana_omics,HG008_COLO829_CNV_LOH_revalidation,yes,yes,no,not_approved,No CNV/LOH or scarHRD evidence until CNV tool changes are revalidated,results/clinicalization/cnv_loh_readiness_summary.json;results/clinicalization/clinical_qc_threshold_lock_summary.json,Require allele-specific CNV/LOH overlap evidence before approving CNV tool changes.
sv_caller_change,accuracy,production_sv_caller_or_parameter_change,manifests/sv_caller_tool_candidates.csv;src/diana_omics,HG008_COLO829_SV_revalidation,yes,yes,no,not_approved,No SV signature or rearrangement evidence until SV caller changes are revalidated,results/clinicalization/sv_caller_readiness_summary.json;results/clinicalization/clinical_qc_threshold_lock_summary.json,Require reciprocal-overlap evidence before approving SV caller changes.
hrd_adapter_change,model,signature_or_hrd_model_adapter_change,manifests/hrd_interpretation_adapters.csv;src/diana_omics,signature_model_and_no_call_revalidation,yes,yes,no,not_approved,No integrated HRD interpretation until adapter/model changes are revalidated,results/clinicalization/hrd_interpretation_readiness_summary.json;results/clinicalization/clinical_qc_threshold_lock_summary.json,Require model calibration and no-call validation before approving HRD adapter changes.
threshold_lock_change,qc_thresholds,threshold_value_or_lock_status_change,manifests/clinical_qc_threshold_locks.csv,threshold_evidence_and_reportable_range_revalidation,yes,yes,no,not_approved,No threshold can be locked without validation evidence and signoff,results/clinicalization/clinical_qc_threshold_lock_summary.json;results/clinicalization/clinical_assay_boundaries_summary.json,Attach validation evidence and reviewer signoff before changing lock_status.
report_language_change,reporting,report_template_or_language_change,docs/clinical/validation-packet-template.md;manifests/clinical_assay_claim_boundaries.csv,report_language_boundary_review,yes,yes,no,not_approved,No clinical report generation until language changes are approved,results/clinicalization/clinical_assay_boundaries_summary.json;results/clinicalization/clinical_validation_evidence_link_summary.json,Require reviewer approval for permitted/prohibited report-language changes.
benchmark_asset_change,known_answer,truth_or_input_asset_change,manifests/benchmarks;manifests/known_answer_asset_approval_packet.csv,asset_checksum_and_known_answer_revalidation,yes,yes,no,not_approved,No benchmark execution or interpretation until asset change is approved and checksummed,results/clinicalization/known_answer_asset_approval_packet_summary.json;results/clinicalization/known_answer_checksum_policy_summary.json,Rebuild approval packet and checksums after any truth/input asset change.
validation_packet_change,validation_packet,validation_section_or_evidence_link_change,manifests/clinical_validation_packet_sections.csv;manifests/clinical_validation_evidence_links.csv,packet_completeness_and_signoff_review,yes,yes,no,not_approved,No packet section is unblocked until linked evidence and signoff are complete,results/clinicalization/clinical_validation_evidence_link_summary.json;results/clinicalization/clinical_validation_packet_readiness_summary.json,Review evidence links and packet completeness before any signoff change.
clinical_signoff_change,signoff,reviewer_or_release_decision_change,manifests/clinical_validation_packet_sections.csv;docs/clinical/validation-packet-template.md,full_packet_review_and_release_decision,yes,yes,no,not_approved,No clinical release without named reviewer/lab-director approval and completed evidence packet,results/clinicalization/clinical_validation_evidence_link_summary.json;results/clinicalization/clinical_assay_boundaries_summary.json,Define named signoff workflow only after all validation evidence sections are complete.
