threshold_id,threshold_domain,feature_class,metric_name,threshold_kind,proposed_threshold,lock_status,evidence_dependency,no_call_if_unmet,reportable_range_impact,clinical_use_allowed,signoff_status,next_action
raw_input_identity,preanalytic_qc,input,raw provenance sample identity checksum/provider validation,qualitative,validation_required,draft_not_locked,Approved raw input manifest plus checksum/provider identity evidence,yes,No interpretation if provenance identity or checksum/provider validation is missing,no,not_approved,Populate validated identity/checksum acceptance criteria after approved known-answer/input validation.
sample_pairing_qc,preanalytic_qc,input,tumor-normal pairing and sample-role consistency,qualitative,validation_required,draft_not_locked,Known-answer tumor-normal pairing manifests and sample identity checks,yes,No interpretation if tumor-normal pairing is missing inconsistent or ambiguous,no,not_approved,Define sample-pairing failure modes and acceptance checks after validation fixtures are reviewed.
bam_reference_compatibility,alignment_qc,alignment,reference build index and contig compatibility,qualitative,GRCh38_compatible_required,draft_not_locked,Known-answer BAM/CRAM or FASTQ alignment validation with reference-build audit,yes,No interpretation if reference build or contigs are mismatched,no,not_approved,Lock accepted reference build and contig policies after benchmark execution.
bam_coverage_acceptance,alignment_qc,alignment,coverage depth breadth and callable-region adequacy,quantitative,validation_required,draft_not_locked,Known-answer WGS coverage distribution and callable-region performance,yes,No interpretation if coverage/callable-region QC is below locked thresholds,no,not_approved,Estimate minimum coverage/breadth thresholds from HG008/COLO829 and replicate validation evidence.
small_variant_concordance,accuracy_qc,small_variant,SNV/indel precision recall and normalization concordance,quantitative,validation_required,draft_not_locked,HG008 small-variant truth benchmark with callable-region denominator,yes,No small-variant feature reporting if concordance thresholds are not met,no,not_approved,Lock recall/precision and normalization acceptance criteria after HG008 truth benchmark execution.
allele_specific_cnv_loh_overlap,accuracy_qc,cnv_loh,allele-specific CNV/LOH reciprocal overlap and purity/ploidy plausibility,quantitative,validation_required,draft_not_locked,HG008 and COLO829 CNV/LOH known-answer benchmarks plus primary CNV tool validation,yes,No CNV/LOH or scarHRD features until allele-specific segments pass validation,no,not_approved,Lock CNV/LOH overlap purity and ploidy thresholds after primary CNV tool validation.
sv_caller_overlap,accuracy_qc,sv,production SV caller reciprocal overlap and breakpoint tolerance,quantitative,validation_required,draft_not_locked,HG008 and COLO829 SV truth benchmarks plus production SV caller output,yes,No SV signature or rearrangement features until SV caller thresholds pass,no,not_approved,Lock reciprocal-overlap and breakpoint tolerance thresholds after production SV caller validation.
signature_mutation_count,signature_qc,signature,minimum usable SNV/indel count and reconstruction QC,quantitative,validation_required,draft_not_locked,SigProfiler/known-answer signature controls and reconstruction quality validation,yes,No signature interpretation below locked mutation-count or reconstruction thresholds,no,not_approved,Lock mutation-count and reconstruction QC thresholds after signature adapter validation.
integrated_hrd_model_inputs,model_qc,integrated_hrd,complete feature vector calibration and no-call propagation,qualitative,validation_required,draft_not_locked,Validated small-variant CNV/LOH SV signature inputs plus CHORD/HRDetect/scarHRD adapter validation,yes,No integrated HRD class/score until every component feature class is validated,no,not_approved,Lock integrated model input requirements and no-call propagation after component validation.
report_generation_gate,reporting_qc,reporting,reportable range approved language and reviewer signoff completeness,qualitative,validation_required,draft_not_locked,Clinical validation packet report template language approval and reviewer signoff,yes,No report generation for clinical interpretation until signoff and reportable range are approved,no,not_approved,Lock report-generation gate only after validation packet and reviewer signoff are complete.
