pull_id,priority,dataset_id,sample_or_asset_id,asset_role,modality,source_access,source_url,expected_answer,first_validation_gate,planned_pull_mode,estimated_transfer_cost_class,checksum_required_before_use,owner_review_required,execution_allowed,clinical_use_allowed,no_call_if_unavailable,caveat
hg008_tumor_wgs,1,giab_hg008,HG008-T,tumor,tumor_normal_wgs,yes,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/,Somatic tumor reads for HG008 small-variant SV CNV and signature benchmarks,HG008 tumor-normal WGS input provenance and reference-build compatibility,metadata_only_until_approval,high,yes,yes,no,no,yes,Large public WGS input; pull only after owner approval and checksum plan.
hg008_normal_wgs,1,giab_hg008,HG008-N-D,normal,tumor_normal_wgs,yes,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data_somatic/HG008/Liss_lab/NYGC_Illumina-WGS_20231023/,Matched normal reads for HG008 tumor-normal benchmarks,HG008 tumor-normal WGS input provenance and reference-build compatibility,metadata_only_until_approval,high,yes,yes,no,no,yes,Large public WGS input; pull only after owner approval and checksum plan.
hg008_tumor_rna,2,giab_hg008,HG008-T_bulk,tumor_rna,tumor_rna_seq,yes,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data_somatic/HG008/NIST/HG008-T_bulk/20240508p21/UMD_RNA-seq_20250925/,RNA FASTQ intake QC and quantification smoke evidence until a transcript-level truth target is selected,HG008 RNA FASTQ validation and quantification QC,metadata_only_until_approval,medium,yes,yes,no,no,yes,RNA validation is plumbing and QC only until a specific RNA truth target is chosen.
hg008_small_variant_truth,1,giab_hg008,HG008-T_somatic_smvar_v0.3,truth_small_variant,tumor_normal_wgs,yes,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data_somatic/HG008/Liss_lab/analysis/NIST_HG008-T_somatic-smvar_DraftBenchmark_V0.3-20260425/,NIST HG008-T somatic SNV indel truth VCF and callable regions,HG008 small-variant recall precision benchmark,metadata_only_until_approval,low,yes,yes,no,no,yes,Truth files must match reference build and callable-region denominator before benchmarking.
hg008_sv_cnv_truth,1,giab_hg008,HG008-T_somatic_stvar_cnv_v0.5,truth_sv_cnv,tumor_normal_wgs,yes,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data_somatic/HG008/Liss_lab/analysis/NIST_HG008-T_somatic-stvar-CNV_DraftBenchmark_V0.5-20260318/,NIST HG008-T somatic SV CNV truth files and PASS regions,HG008 SV and CNV reciprocal-overlap benchmark,metadata_only_until_approval,low,yes,yes,no,no,yes,Truth files are draft benchmark materials; report no-call if coordinate or reference assumptions mismatch.
colo829_tumor_wgs,2,colo829,COLO829,tumor,tumor_normal_wgs,yes,https://www.ebi.ac.uk/ena/browser/view/PRJEB27698,Independent tumor WGS with expected BRAF V600E and UV-like signature behavior,COLO829 tumor-normal WGS input provenance and driver signature guardrail,metadata_only_until_approval,high,yes,yes,no,no,yes,Independent non-breast guardrail; do not treat as HRD-positive truth.
colo829_normal_wgs,2,colo829,COLO829BL,normal,tumor_normal_wgs,yes,https://www.ebi.ac.uk/ena/browser/view/PRJEB27698,Matched normal WGS for COLO829 independent benchmark,COLO829 tumor-normal WGS input provenance and pairing compatibility,metadata_only_until_approval,high,yes,yes,no,no,yes,Pairing and reference build must be confirmed before benchmark execution.
colo829_sv_cna_truth,2,colo829,COLO829_sv_cna_truth,truth_sv_cnv,tumor_normal_wgs,yes,https://zenodo.org/records/7515830,Curated COLO829 somatic SV and CNA truth files,COLO829 SV and CNA reciprocal-overlap benchmark,metadata_only_until_approval,low,yes,yes,no,no,yes,Truth assets are independent of SEQC2 and HG008 and should be reconciled before use.
colo829_purity_series,3,colo829_purity_series,COLO829_purity_selected_levels,dilution_series,tumor_normal_wgs_dilution,yes,https://www.ebi.ac.uk/ena/browser/view/PRJEB27698,Selected COLO829 purity levels should show monotonic sensitivity loss as tumor fraction drops,COLO829 purity recall and monotonicity stress table,metadata_only_until_approval,high,yes,yes,no,no,yes,Use a selected subset first; this is tissue dilution stress evidence, not cfDNA MRD proof.
seraseq_ctdna_mrd_panel,4,seraseq_ctdna_mrd,Seraseq_ctDNA_MRD_Panel_Mix,ctdna_reference,ctdna_mrd_reference,request_or_purchase,https://www.seracare.com/globalassets/seracare-resources/ds-mkt-00626-0710-2146-seraseq-ctdna-mrd-panel-mix.pdf,0 percent tumor negative and 0.5 percent or 0.05 percent tumor positive if sequencing depth is adequate,MRD positive negative and dilution validation after material or files are obtained,contact_or_purchase_required,request_or_purchase,yes,yes,no,no,yes,Not freely downloadable public FASTQ data; variant lists or material require request or purchase.
