check_id,pull_id,dataset_id,sample_or_asset_id,analysis_artifact_path,bounded_status,pipeline_confirmation,evidence_type,public_finding_result,clinical_use_allowed
hg008_tumor_wgs_input,hg008_tumor_wgs,giab_hg008,HG008-T,results/clinicalization/known_answer_runs/hg008/input_provenance_summary.json,bounded_non_dry_passed,bounded_confirmed,remote_indexed_bam_pileup,HG008-T carries truth ALT alleles while HG008-N-D remains reference-like across the bounded SNV panel.,no
hg008_normal_wgs_input,hg008_normal_wgs,giab_hg008,HG008-N-D,results/clinicalization/known_answer_runs/hg008/input_provenance_summary.json,bounded_non_dry_passed,bounded_confirmed,remote_indexed_bam_pileup,HG008-T carries truth ALT alleles while HG008-N-D remains reference-like across the bounded SNV panel.,no
hg008_tumor_rna_qc,hg008_tumor_rna,giab_hg008,HG008-T_bulk,results/clinicalization/known_answer_runs/hg008/rna_qc_summary.json,bounded_non_dry_gap_identified,not_confirmed,public_fastq_stats_only,"HG008 RNA stats are present and paired, but no RNA quantification or truth target was run.",no
hg008_small_variant_concordance,hg008_small_variant_truth,giab_hg008,HG008-T_somatic_smvar_v0.3,results/clinicalization/known_answer_runs/hg008/small_variant_concordance_summary.json,bounded_non_dry_passed,bounded_confirmed,truth_vcf_remote_bam_pileup,10/10 HG008 truth SNVs had tumor ALT support and normal REF support.,no
hg008_sv_cnv_concordance,hg008_sv_cnv_truth,giab_hg008,HG008-T_somatic_stvar_cnv_v0.5,results/clinicalization/known_answer_runs/hg008/sv_cnv_reciprocal_overlap_summary.json,bounded_non_dry_partial,bounded_partial_cnv_depth_only,truth_cnv_remote_bam_depth,HG008 CNV truth loss shows reduced tumor-normal depth after neutral-region normalization; SV reciprocal-overlap remains unrun.,no
colo829_tumor_wgs_input,colo829_tumor_wgs,colo829,COLO829,results/clinicalization/known_answer_runs/colo829/input_provenance_summary.json,bounded_non_dry_passed,bounded_confirmed,remote_indexed_bam_pileup,COLO829 tumor has BRAF V600E ALT support while COLO829R normal remains reference-like at the same locus.,no
colo829_normal_wgs_input,colo829_normal_wgs,colo829,COLO829BL,results/clinicalization/known_answer_runs/colo829/input_provenance_summary.json,bounded_non_dry_passed,bounded_confirmed,remote_indexed_bam_pileup,COLO829 tumor has BRAF V600E ALT support while COLO829R normal remains reference-like at the same locus.,no
colo829_sv_cna_concordance,colo829_sv_cna_truth,colo829,COLO829_sv_cna_truth,results/clinicalization/known_answer_runs/colo829/sv_cna_reciprocal_overlap_summary.json,bounded_non_dry_gap_identified,not_confirmed,truth_assets_only_with_driver_pileup_context,"COLO829 SV/CNA truth assets are present, but no SV/CNA caller output or reciprocal-overlap result was generated.",no
colo829_purity_monotonicity,colo829_purity_series,colo829_purity_series,COLO829_purity_selected_levels,results/clinicalization/known_answer_runs/colo829_purity/purity_recall_table_summary.json,bounded_non_dry_blocked_remote_index_missing,not_confirmed,ena_metadata_and_failed_remote_region_probe,COLO829 dilution BAMs are public but cannot be remotely region-sliced because ENA does not expose submitted BAI files for selected levels.,no
seraseq_mrd_positive_negative,seraseq_ctdna_mrd_panel,seraseq_ctdna_mrd,Seraseq_ctDNA_MRD_Panel_Mix,results/clinicalization/known_answer_runs/seraseq_mrd/positive_negative_summary.json,blocked_request_or_purchase,not_confirmed,source_access_blocker,Seraseq ctDNA MRD material or variant files are not freely downloadable for non-dry analysis.,no
